POI_ID,FAC_TYPE,POI_NAME,IN_VICIN,POINT_X,POINT_Y,FAC_NAME,DTMN11,FR11,SEC11,SS11,BGRI11,LUG11,LUG11DESIG
"67174909","5800",CAFÉ DEL RIO,N,-9.09247,38.75846,Restaurante,"1106","33","027","01","11063302701","022406",Lisboa
"67179437","5800",LAS BRASITAS,N,-9.1753,38.70032,Restaurante,"1106","26","013","05","11062601305","022406",Lisboa
"69992521","5800",CONVENTUAL,N,-9.1517,38.71533,Restaurante,"1106","22","002","03","11062200203","022406",Lisboa
"1131748257","5800",LOJA DAS SOPAS,N,-9.14478,38.73321,Restaurante,"1106","44","013","01","11064401301","022406",Lisboa
"1131748254","5800",JOSHUA'S SHOARMA GRILL,N,-9.14478,38.73321,Restaurante,"1106","44","013","01","11064401301","022406",Lisboa
"1131748251","5800",GUACAMOLE,N,-9.14478,38.73321,Restaurante,"1106","44","013","01","11064401301","022406",Lisboa
"1131748250","5800",GO NATURAL,N,-9.14478,38.73321,Restaurante,"1106","44","013","01","11064401301","022406",Lisboa
"1131748258","9996",MABUBA CAFÉ,N,-9.14478,38.73321,Café,"1106","44","013","01","11064401301","022406",Lisboa
"998743406","5800",SOLAR DA PONTE,N,-9.15001,38.74613,Restaurante,"1106","23","002","01","11062300201","022406",Lisboa
"69992659","5800",GAMBRINUS,N,-9.13974,38.71532,Restaurante,"1106","31","003","04","11063100304","022406",Lisboa
"69992500","5800",ADEGA MACHADO,N,-9.14377,38.71228,Restaurante,"1106","15","003","09","11061500309","022406",Lisboa
"1148200163","5800",RESTAURANTE SWEET OLIVE,N,-9.11354,38.75373,Restaurante,"1106","21","017","02","11062101702","022406",Lisboa
"998749992","5800",À MINHA MANEIRA,N,-9.12902,38.71018,Restaurante,"1106","47","004","08","11064700408","022406",Lisboa
"67195072","5800",XL,N,-9.15477,38.71205,Restaurante,"1106","17","012","01","11061701201","022406",Lisboa
"998720100","5800",ARMAZEM F,N,-9.09691,38.74788,Restaurante,"1106","21","012","03","11062101203","022406",Lisboa
"67179912","5800",MENINOS DO RIO,N,-9.15,38.70611,Restaurante,"1106","49","005","13","11064900513","022406",Lisboa
"1048148955","9996",TOKAFÉ,N,-9.20666,38.75242,Café,"1106","08","023","02","11060802302","022406",Lisboa
"1048148950","5800",BITOQUE DE OURO,N,-9.20634,38.75234,Restaurante,"1106","08","032","01","11060803201","022406",Lisboa
"1048148951","9996",CAFETARIA O RAUL,N,-9.20616,38.75231,Café,"1106","08","032","01","11060803201","022406",Lisboa
"1143826068","5800",FU SHIN,N,-9.14982,38.72205,Restaurante,"1106","14","011","05","11061401105","022406",Lisboa
"1143826069","5800",GALO D'OURO,N,-9.14999,38.72224,Restaurante,"1106","14","011","05","11061401105","022406",Lisboa
"69992647","5800",RESTAURANTE TÍPICO A SEVERA,N,-9.14341,38.71176,Restaurante,"1106","15","006","01","11061500601","022406",Lisboa
"1148634172","5800","409",N,-9.18283,38.7462,Restaurante,"1106","39","025","01","11063902501","022406",Lisboa
"1143893108","5800",CASA NEPALESA,N,-9.1514,38.73851,Restaurante,"1106","23","013","03","11062301303","022406",Lisboa
"842821090","5800",MCDONALD'S,N,-9.20326,38.69727,Restaurante,"1106","32","009","10","11063200910","022406",Lisboa
"1137816683","5800",A FLOR DO GIESTAL,N,-9.19016,38.70036,Restaurante,"1106","02","025","02","11060202502","022406",Lisboa
"1137816684","5800",O BIGODES,N,-9.19069,38.70033,Restaurante,"1106","02","023","01","11060202301","022406",Lisboa
"69992496","5800",A TAPADINHA,N,-9.17853,38.7065,Restaurante,"1106","02","007","04","11060200704","022406",Lisboa
"1143826071","5800",TASCA DA SÉ,N,-9.13316,38.71005,Restaurante,"1106","52","001","02","11065200102","022406",Lisboa
